Unit1	第一单元
good	好的
morning	早晨;上午
hi	嗨;喂
hello	你好;喂
afternoon	下午
evening	晚上;傍晚
how	怎样;如何
are	是
you	你;你们
I	我
am	是
fine	健康的;美好的
thanks	感谢
OK	好;可以
Unit2	第二单元
what	什么
is	是
this	这;这个
in	用;以
English	英语;英格兰的;英语的
map	地图
cup	杯子
ruler	尺;直尺
pen	笔;钢笔
orange	橙子
jacket	夹克衫;短上衣
key	钥匙
quilt	被子;床罩
it	它
a	一
that	那;那个
spell	用字母拼;拼写
please	请
Unit3	第三单元
color	颜色
red	红色
yellow	黄色
green	绿色
blue	蓝色
black	黑色
white	白色
purple	紫色
brown	棕色;褐色
the	指已提到或易领会到的人或事
now	现在;目前
see	理解;明白
can	能;会
say	说;讲
my	我的
Unit4	第四单元
name	名字;名称
nice	令人愉快的;宜人的
to	常用于原形动词之前，该动词为不定式
meet	遇见;相逢
too	也;又;太
your	你的;你们的
Ms	女士
his	他的
and	和;又;而
her	她的
yes	是的;可以
she	她
he	他
no	不;没有;不是
not	不;没有
zero	um;零
one	一
two	二
three	三
four	四
five	五
six	六
seven	七
eight	八
nine	九
telephone	电话;电话机
number	号码;数字
phone	电话;电话机
first	第一
last	最后的;末尾的
friend	朋友
China	中国
middle	中间的;中间
school	学校
Unit5	第五单元
sister	姐;妹
mother	母亲;妈妈
father	父亲;爸爸
parent	父亲
brother	兄;弟
grandmother	
grandfather	祖父;爷爷
grandparent	祖父
family	家;家庭
those	那些
who	谁;什么人
oh	哦;啊
these	这些
they	他们
well	嗯;好吧
have	经受;经历
son	儿子
cousin	堂兄;表兄
grandpa	祖父;爷爷;外公
mom	妈妈
aunt	姑母;姨母;伯母;婶母;舅母
grandma	祖母;奶奶;外婆
dad	爸爸
uncle	舅父;叔父;伯父;姑父;舅父
daughter	女儿
here	这就是;在这里
photo	照片
of	属于;关于
next	&n;下一个;接下来
picture	照片;图画
girl	女孩
dog	狗
Unit6	第六单元
pencil	铅笔
book	书
eraser	橡皮
box	箱;盒
schoolbag	书包
dictionary	词典;字典
his	他的
mine	我的
hers	她的
excuse	原谅;宽恕
me	我
thank	感谢;谢谢
teacher	老师;教师
about	关于
yours	你的;你们的
for	为了;给;对
help	&n;帮助;援助
welcome	受欢迎的
baseball	棒球
watch	表;手表
computer	计算机;电脑
game	游戏;运动;比赛
card	卡片
ID card	学生卡;身份证
notebook	笔记本
ring	戒指
bag	袋;包
library	图书馆
ask	请求;要求;询问
find	找到;发现
some	一些;某些
classroom	教室
