
Unit1	第一单元
guitar	吉他
sing	唱;唱歌
swim	游泳
dance	跳舞;舞蹈
draw	画
chess	国际象棋
play chess	下国际象棋
speak	说;说话
speak English	说英语
join	参加;加入
club	俱乐部;社团
be good at…	擅长于……
tell	n讲述;告诉
story	事;小说
write	写作;写字
show	演出;表演;展示
or	或者
talk	说话;谈话
talk to …	跟……说
kungfu	功夫
drum	鼓
play the drums	敲鼓
piano	钢琴
play the piano	弹钢琴
violin	小提琴
play the violin	拉小提琴
also	也;而且
people	人们
home	家;活动本部;到家;在家
be good with	善于应付的;对 有办法
make	使成为;制造
make friends	结交朋友
today	在今天
help	with sth	在某方面帮助
center	中心,中央
weekend		周末
on the weekend	周末
teach	讲授
musician	音乐家
Unit2	第二单元
up	向上
get up	起床;站起
dress	穿衣服;连衣裙
get dressed	穿上衣服
brush	刷;刷净;刷子
tooth	牙齿
shower	淋浴;淋浴器
take a shower	洗淋浴
usually	通常地;一般地
forty	四十
Wow	哇;呀
never	不;绝不
early	早
fifty	五十
job	工作;职业
work	工作
station	电视台;车站
radio station	广播电台
o'clock	点钟
night	晚上;夜晚
funny	怪的;滑稽好笑的
exercise	锻炼;练习
on weekends	周末
best	最好的
half	一半,半数
past	晚于;过;过去的
quarter	一刻钟;四分之一
homework	家庭作业
do one's homework	做作业
run	跑;奔
clean	扫;弄干净;干净的
walk	行走;步行
take a walk	散步走一走
quickly	快地
either	者;也
Either or	要么 要么;或者 或者
lot	大量;许多
lots of	大量;许多
sometimes	有时
taste	有 的味道;品尝;味道;滋味
Life	生活,生命
Unit3	第三单元
train	火车
bus	公交车
subway	地铁
take the subway	乘地铁
ride	旅行
bike	自行车
ride a bike	骑自行车
sixty	六十
seventy	七十
eighty	八十
ninety	九十
hundred	一百
minute	分钟
far	远;远的
kilometer	公里
new	新的;刚出现的
every	每一;每个
every day	每天
by	乘
by bike	骑自行车
drive	开车
car	小汽车;轿车
live	居住;生活
stop	车站;停止
think of	认为
cross	横过;越过
river	河;江
many	许多
village	村庄;村镇
between	介于…之间
between and	在……和……之间
bridge	桥
boat	小船
Ropeway	索道
year	年;岁
afraid	害怕;惧怕
like	像;怎么样
leave	离开
dream	梦想;睡梦;做梦
true	真的;符合事实的
come true	实现;成为现实
Unit4	第四单元
rule	规则;规章
arrive	到达
be on time	准时
hallway	走廊;过道
hall	大厅;礼堂
dining hall	餐厅
listen	听;倾听
listen to	听
fight	打架;战斗
sorry	抱歉的;难过的;惋惜的
outside	外面;外面的
wear	穿;戴
important	重要的
bring	带来;取来
uniform	校服;制服
quiet	静的
out	外出
go out	外出
practice	练习
dish	碟;盘
do the dishes	清洗餐具
before	在 以前;以前
make (one's) bed	铺床
dirty	脏的
kitchen	厨房
more	更多的
noisy	吵闹的
relax	放松;休息
read	读;阅读
terrible	非常讨厌的;可怕的
feel	感受;觉的
strict	严格的;严厉的
be strict (with sb)	要求严格
remember	记住;记起
follow	遵循;跟随
follow the rules	遵守规则
luck	幸运;运气
keep	保持;保留
hair	头发;毛发
learn	学习;学会
Unit5	第五单元
panda	熊猫
zoo	动物园
tiger	老虎
elephant	大象
koala	树袋熊
lion	狮子
giraffe	长颈鹿
animal	.动物
