matter	问题；事情
What's the matter?	怎么了？出什么事了？
sore	疼痛的；酸痛的
have a cold	感冒
stomachache	胃痛；腹痛
have a stomachache	胃痛
foot	脚；足
neck	颈；脖子
stomach	胃；腹部
throat	咽喉；喉咙
fever	发烧
lie	躺，平躺
lie down	躺下
rest	放松；休息
cough	咳嗽
X-ray	X 射线；X 光
toothache	牙痛
take one's temperature	量体温
headache	头痛
have a fever	发烧
break	间歇；休息
take breaks (take a break)	休息
hurt	（使）疼痛；受伤
passenger	乘客；旅客
off	离开（某处）；不工作；从......去掉
get off	下车
to one's surprise	使......惊讶的；出乎......意料
onto	向；朝
trouble	问题；苦恼
hit	击；打
right away	立即；马上
get into	陷入；参与
herself	（she的反身代词）她自己
bandage	绷带；用绷带包扎
sick	生病的；有病的
knee	膝；膝盖
nosebleed	鼻出血
breathe	呼吸
sunburned	晒伤的
ourselves	（we的反身代词）我们自己
climber	登山者；攀登者
be used to	习惯于；适应于
risk	危险；风险；冒险
take risks	冒险
accident	（交通）事故；意外遭遇
situation	情况；状况
kilo	千克；公斤
rock	岩石
run out (of)	用尽；耗尽
knife	刀
cut off	切除
blood	血
mean	意思是；打算；意欲
get out of	离开；从......出来
importance	重要性；重要
decision	决定；抉择
control	限制；约束；管理
be in control of	掌管；管理
spirit	勇气；意志
death	死；死亡
give up	放弃
nurse	护士
Judy	朱迪（女名）
Nancy	南希（女名）
Mandy	曼迪（女名）
Aron Ralston	阿伦•罗尔斯顿
Utah	尤他州（美国）

clean up	打扫（或清除）干净
cheer	欢呼；喝彩
cheer up	（使）变得更高兴；振奋起来
give out	分发；散发
volunteer	义务做；自愿做；志愿者
come up with	想出；提出（主意、计划回答等）
put off	推迟
sign	标志；信号
notice	通知；通告；注意；注意到；意识到
hand out	分发
call up	打电话给（某人）；征召
used to	曾经；过去
lonely	孤独的；寂寞的
care for	照顾，非常喜欢
several	几个；数个；一些
strong	强烈的；强壮的
feeling	感觉；感触
satisfaction	满足；满意
joy	高兴；愉快
owner	物主；主人
try out	参加选拔；试用
journey	（由指长途）旅行；行程
raise	募集；征集
alone	独自；单独
repair	修理；修补
fix	修理；安装
fix up	修理；装饰
give away	赠送；捐赠
take after	（外貌或行为）像
broken	破损的；残缺的
wheel	车轮；车子
letter	信；函
Miss	女士；小姐
set up	建起；设立
disabled	丧失能力的；有残疾的
make a difference	影响；有作用
blind	瞎的；失明的
deaf	聋的
imagine	想象；设想
difficulty	困难；难题
open	开；打开
door	门
carry	拿；提；扛
train	训练；培训

rubbish	垃圾；废弃物
take out the rubbish	倒垃圾
fold	折叠；对折
sweep	扫；打扫
floor	地板
mess	杂乱；不整洁
throw	扔；掷
all the time	频繁；反复
neither	也不
shirt	衬衫
as soon as	一……就；尽快
pass	给；递；走过；通过
borrow	借；借用
lend	借给；借出
finger	手指
hate	厌恶；讨厌
chore	杂务；乏味无聊的工作
while	与...同时；当...的时候；而；然而
snack	点心；小吃；快餐
stress	精神压力；心理负担
waste	浪费；垃圾；浪费；滥用
in order to	目的是；为了
provide	提供；供应
anyway	而且；加之
depend	依靠；信赖
develop	发展；壮大
independence	独立
fairness	公正性；合理性
since	因为；既然
neighbor	邻居
take care of	照顾；处理
ill	有病；不舒服
drop	落下；掉下
independent	独立的；自主的
fair	合理的；公正的
unfair	不合理的；不公正的
Sandy	桑迪

allow	允许；准许
wrong	有毛病的；错误的
What's wrong	哪儿不舒服
midnight	午夜；子夜
look through	快速查看；浏览
guess	猜测；估计
deal	协议；交易
big deal	重要的事
work out	成功的发展；解决
get on with	和睦相处；关系良好
relation	关系；联系；交往
communication	交流；沟通
argue	争吵；争论
cloud	云；云朵
elder	年纪较长的
instead	代替；反而；却
whatever	任何；每一
nervous	焦虑的；担忧的
offer	主动提出；自愿给予
proper	正确的；恰当的
secondly	第二；其次
communicate	交流；沟通
explain	解释；说明
clear	清楚易懂的；晴朗的
copy	抄袭；模仿；复制；复印
return	归还；回来；返回
anymore	再也（不）；（不）再
member	成员；分子
pressure	压力
compete	竞争；对抗
opinion	意见；想法；看法
skill	技艺；技巧
typical	典型的
football	（美式）橄榄球；足球
cut out	删除；删去
quick	快的；迅速的；时间短暂的
continue	持续；继续存在的
compare	比较
compare...with	比较；对比
crazy	不理智的；疯狂的
push	鞭策；督促；推动
development	发展；发育；成长
cause	造成；引起
usual	通常的；寻常的
in one's opinion	依……看
perhaps	可能；大概；也许
Cathy	凯茜（女名）
Taylor	泰勒（姓）

rainstorm	暴风雨
